,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
108,David Givens,NWE,WR,24,15,12,0,0,0,0,0,0,0,,0,106,56,874,15.61,3,0,,3,,,105,161.4,164.4,133.4,,37,,GiveDa00
109,Ronald Curry,OAK,WR,25,12,3,0,1,0,0,0,1,-3,-3.00,0,70,50,679,13.58,6,1,,6,,,104,153.6,156.6,128.6,,38,,CurrRo01
110,Lee Suggs,CLE,RB,24,10,3,0,0,0,0,0,199,744,3.74,2,36,20,178,8.90,1,6,3,3,,,104,124.2,133.2,114.2,,33,,SuggLe00
111,Antonio Bryant,2TM,WR,23,15,8,0,0,0,0,0,0,0,,0,99,58,812,14.00,4,1,1,4,,,103,161.2,165.2,132.2,,39,,BryaAn00
112,Justin McCareins,NYJ,WR,26,16,16,0,0,0,0,0,2,-5,-2.50,0,90,56,770,13.75,4,3,,4,,,101,156.5,159.5,128.5,,40,,McCaJu00
113,Sammy Morris,MIA,RB,27,13,8,0,0,0,0,0,132,523,3.96,6,28,22,124,5.64,0,1,,6,,,101,122.7,128.7,111.7,,34,,MorrSa00
114,Plaxico Burress,PIT,WR,27,11,11,0,0,0,0,0,0,0,,0,59,35,698,19.94,5,1,,5,,,100,134.8,137.8,117.3,,41,,BurrPl00
115,Johnnie Morton,KAN,WR,33,13,12,0,0,0,0,0,7,43,6.14,0,79,55,795,14.45,3,2,1,3,,,100,154.8,158.8,127.3,,42,,MortJo00
116,Chester Taylor,BAL,RB,25,16,4,0,0,0,0,0,160,714,4.46,2,38,30,184,6.13,0,1,1,2,,,100,129.8,136.8,114.8,,35,,TaylCh01
117,Laveranues Coles,WAS,WR,27,16,16,0,0,0,0,0,3,-3,-1.00,0,168,90,950,10.56,1,1,1,1,,,99,188.7,192.7,143.7,,43,,ColeLa00
118,Kurt Warner,NYG,QB,33,10,9,174,277,2054,6,4,13,30,2.31,1,0,0,0,,0,12,4,1,,,99,99.2,110.2,103.2,,29,,WarnKu00
119,T.J. Duckett,ATL,RB,23,13,0,0,0,0,0,0,104,509,4.89,8,3,3,15,5.00,0,2,2,8,,,96,99.4,104.4,97.9,,36,,DuckT.00
120,Rod Gardner,WAS,WR,27,16,14,0,3,0,0,0,3,7,2.33,0,106,51,650,12.75,5,0,,5,,,96,146.7,149.7,121.2,,45,,GardRo00
121,Eric Parker,SDG,WR,25,15,13,0,0,0,0,0,4,53,13.25,0,71,47,690,14.68,4,5,1,4,,,96,143.3,147.3,119.8,,44,,ParkEr00
122,Brandon Lloyd,SFO,WR,23,13,13,0,0,0,0,0,0,0,,0,89,43,565,13.14,6,0,,6,1,,95,137.5,140.5,116.0,,46,,LloyBr00
123,Dennis Northcutt,CLE,WR,27,16,11,0,0,0,0,0,8,19,2.38,0,94,55,806,14.65,2,2,1,2,,,93,147.5,151.5,120.0,,47,,NortDe00
124,A.J. Feeley,MIA,QB,27,11,8,191,356,1893,11,15,14,13,0.93,1,0,0,0,,0,10,5,1,,2,91,91.0,114.0,106.0,,30,,FeelA.00
125,Duce Staley,PIT,RB,29,10,10,0,0,0,0,0,192,830,4.32,1,12,6,55,9.17,0,3,2,1,,,91,96.5,101.5,93.5,,37,,StalDu00
126,Antowain Smith,TEN,RB,32,13,4,0,0,0,0,0,137,509,3.72,4,26,22,169,7.68,0,2,1,4,,,90,111.8,118.8,100.8,,38,,SmitAn00
127,Amos Zereoue,OAK,RB,28,15,6,0,0,0,0,0,112,425,3.79,3,48,39,284,7.28,0,1,1,3,,,87,125.9,132.9,106.4,,39,,ZereAm00
128,Patrick Ramsey,WAS,QB,25,9,7,169,272,1665,10,11,10,19,1.90,0,0,0,0,,0,6,1,0,,,85,84.5,99.5,95.5,,31,,RamsPa00
129,Steve McNair,TEN,QB,31,8,8,129,215,1343,8,9,23,128,5.57,1,0,0,0,,0,5,3,1,1,,83,82.5,100.5,91.5,,32,,McNaSt00
130,Cedrick Wilson,SFO,WR,26,15,15,0,0,0,0,0,1,6,6.00,0,85,47,641,13.64,3,0,,3,,,83,129.7,132.7,106.2,,48,,WilsCe00
131,Antwaan Randle El,PIT,WR,25,16,7,1,1,10,1,0,8,34,4.25,0,63,43,601,13.98,3,5,2,3,,,82,124.9,129.9,103.4,,49,,RandAn00
132,Joey Galloway,TAM,WR,33,10,7,0,0,0,0,0,2,19,9.50,0,53,33,416,12.61,5,3,,6,,,80,112.5,115.5,96.0,,51,,GallJo00
133,Peerless Price,ATL,WR,28,16,15,1,1,25,0,0,3,34,11.33,0,106,45,575,12.78,3,0,,3,,,80,124.9,127.9,102.4,,50,,PricPe00
134,Jabar Gaffney,HOU,WR,24,16,12,0,3,0,0,0,4,30,7.50,0,68,41,632,15.41,2,1,,2,,,78,119.2,122.2,98.7,,52,,GaffJa00
135,William Green,CLE,RB,25,15,13,0,0,0,0,0,163,585,3.59,2,22,14,84,6.00,0,3,2,2,,,75,88.9,93.9,81.9,,40,,GreeWi01
136,David Terrell,CHI,WR,25,16,15,0,0,0,0,0,3,10,3.33,0,90,42,699,16.64,1,1,1,1,,,75,116.9,120.9,95.9,,53,,TerrDa00
137,Eddie George,DAL,RB,31,13,8,0,0,0,0,0,132,432,3.27,4,13,9,83,9.22,0,3,1,4,,,74,82.5,86.5,78.0,,42,,GeorEd00
138,Dorsey Levens,PHI,RB,34,15,5,0,0,0,0,0,94,410,4.36,4,14,9,92,10.22,0,0,,4,,,74,83.2,86.2,78.7,,41,,LeveDo00
139,Todd Pinkston,PHI,WR,27,16,16,0,0,0,0,0,0,0,,0,63,36,676,18.78,1,0,,1,,,74,109.6,112.6,91.6,,54,,PinkTo00
140,Amani Toomer,NYG,WR,30,15,14,0,0,0,0,0,0,0,,0,107,51,747,14.65,0,1,1,0,,,73,123.7,127.7,98.2,,55,,ToomAm00
141,Marty Booker,MIA,WR,28,15,15,1,1,48,0,0,1,-8,-8.00,0,105,50,638,12.76,1,0,,1,,,71,120.9,123.9,95.9,,57,,BookMa00
142,Az-Zahir Hakim,DET,WR,27,12,5,0,0,0,0,0,1,0,0.00,0,57,31,533,17.19,3,0,,3,,,71,102.3,105.3,86.8,,56,,HakiAz00
